Ester,Unknown,Low,Medium,Medium,0.64,Novel,Predicted theoretical compound,No
Alkyne+Amide+Carboxylic Acid,Unknown,Medium,High,High,0.62,Novel,Predicted theoretical compound,No
Ether+Nitrile,Unknown,Medium,Low,Medium,0.45,Novel,Predicted theoretical compound,No
Carboxylic Acid+Ketone+Sulfide,Unknown,Medium,High,Medium,0.66,Novel,Predicted theoretical compound,No
Ether,Unknown,Low,Medium,Medium,0.7,Novel,Predicted theoretical compound,No
Thiol,Thiol Compound,Medium,Low,Medium,0.82,Seen,Rule-consistent known chemical class,Yes
Alcohol+Aldehyde+Aromatic Ring,Unknown,Medium,Low,High,0.61,Novel,Predicted theoretical compound,No
Amide,Unknown,Low,High,High,0.68,Novel,Predicted theoretical compound,No
Ketone,Unknown,Medium,Medium,Medium,0.63,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Low,Medium,0.79,Seen,Rule-consistent known chemical class,Yes
Ether+Nitrile,Unknown,Medium,Medium,Medium,0.43,Novel,Predicted theoretical compound,No
Alkene+Ester+Heterocycle,Unknown,Medium,Low,Medium,0.4,Novel,Predicted theoretical compound,No
Halide,Unknown,High,Low,Medium,0.41,Novel,Predicted theoretical compound,No
Acid Chloride,Acid Chloride,Medium,Medium,Low,0.9,Seen,Rule-consistent known chemical class,Yes
Nitro,Unknown,High,Low,Medium,0.41,Novel,Predicted theoretical compound,No
Alcohol+Heterocycle,Unknown,Low,Low,Medium,0.49,Novel,Predicted theoretical compound,No
Ester+Ether+Sulfide,Unknown,Medium,Medium,Medium,0.64,Novel,Predicted theoretical compound,No
Amide+Halide+Ketone,Unknown,High,High,High,0.59,Novel,Predicted theoretical compound,No
Aromatic Ring+Ether,Unknown,Medium,Low,High,0.49,Novel,Predicted theoretical compound,No
Ether+Phenol,Unknown,Low,Low,Medium,0.46,Novel,Predicted theoretical compound,No
Carboxylic Acid,Unknown,Low,High,Medium,0.55,Novel,Predicted theoretical compound,No
Alkyne+Aromatic Ring+Sulfide,Unknown,Medium,Low,High,0.46,Novel,Predicted theoretical compound,No
Ester,Unknown,Medium,Medium,Medium,0.67,Novel,Predicted theoretical compound,No
Ether+Heterocycle+Thiol,Unknown,Medium,Low,Medium,0.56,Novel,Predicted theoretical compound,No
Alkyne+Amine+Nitrile,Unknown,Medium,Low,Medium,0.57,Novel,Predicted theoretical compound,No
Aromatic Ring+Carboxylic Acid+Thiol,Unknown,Medium,High,High,0.43,Novel,Predicted theoretical compound,No
Aldehyde+Nitro,Unknown,High,Low,Medium,0.67,Novel,Predicted theoretical compound,No
Acid Chloride,Acid Chloride,Low,Medium,Low,0.93,Seen,Rule-consistent known chemical class,Yes
Acid Chloride+Ester,Unknown,Medium,Low,Low,0.54,Novel,Predicted theoretical compound,No
Halide,Unknown,High,Medium,Medium,0.42,Novel,Predicted theoretical compound,No
Halide+Heterocycle,Unknown,High,Medium,Medium,0.67,Novel,Predicted theoretical compound,No
Ether+Ketone+Nitrile,Unknown,Medium,Medium,Medium,0.63,Novel,Predicted theoretical compound,No
Acid Chloride+Sulfonamide,Unknown,Low,Medium,Low,0.44,Novel,Predicted theoretical compound,No
Amine+Sulfide,Unknown,Medium,Medium,Medium,0.47,Novel,Predicted theoretical compound,No
Alkene+Amine,Unknown,Medium,Medium,Medium,0.69,Novel,Predicted theoretical compound,No
Acid Chloride+Carboxylic Acid+Nitro,Unknown,High,Low,Low,0.66,Novel,Predicted theoretical compound,No
Alkene+Aromatic Ring+Heterocycle,Unknown,Medium,Low,High,0.45,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Medium,Medium,0.8,Seen,Rule-consistent known chemical class,Yes
Halide+Nitrile+Phenol,Unknown,High,Medium,Medium,0.62,Novel,Predicted theoretical compound,No
Alkyne+Nitrile+Phenol,Unknown,Medium,Medium,Medium,0.63,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Medium,Medium,0.86,Seen,Rule-consistent known chemical class,Yes
Alcohol+Nitro+Phenol,Unknown,High,Low,Medium,0.54,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Medium,Low,High,0.8,Seen,Rule-consistent known chemical class,Yes
Aldehyde+Nitrile+Sulfide,Unknown,Medium,Low,Medium,0.55,Novel,Predicted theoretical compound,No
Sulfonamide,Unknown,Medium,Low,Medium,0.57,Novel,Predicted theoretical compound,No
Aldehyde+Ketone+Nitrile,Unknown,Medium,Medium,Medium,0.56,Novel,Predicted theoretical compound,No
Alkyne+Ketone+Nitro,Unknown,High,Low,Medium,0.63,Novel,Predicted theoretical compound,No
Carboxylic Acid+Sulfide+Thiol,Unknown,Medium,High,Medium,0.57,Novel,Predicted theoretical compound,No
Ether+Heterocycle+Sulfide,Unknown,Medium,Low,Medium,0.54,Novel,Predicted theoretical compound,No
Ester,Unknown,Low,Medium,Medium,0.41,Novel,Predicted theoretical compound,No
Alkene+Nitro,Unknown,High,Low,Medium,0.6,Novel,Predicted theoretical compound,No
Aldehyde,Unknown,Medium,Low,Medium,0.6,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Medium,Medium,0.79,Seen,Rule-consistent known chemical class,Yes
Alkene+Aromatic Ring+Ether,Unknown,Low,Low,High,0.47,Novel,Predicted theoretical compound,No
Alkyne+Ketone+Thiol,Unknown,Medium,Low,Medium,0.58,Novel,Predicted theoretical compound,No
Amine,Unknown,Low,Low,Medium,0.56,Novel,Predicted theoretical compound,No
Acid Chloride+Heterocycle,Unknown,Medium,Medium,Low,0.63,Novel,Predicted theoretical compound,No
Phenol,Phenol,Medium,Low,Medium,0.84,Seen,Rule-consistent known chemical class,Yes
Alkene+Amide+Thiol,Unknown,Medium,High,High,0.52,Novel,Predicted theoretical compound,No
Alcohol+Sulfide,Unknown,Medium,Low,Medium,0.6,Novel,Predicted theoretical compound,No
Acid Chloride+Aldehyde,Unknown,Medium,Low,Low,0.42,Novel,Predicted theoretical compound,No
Amine,Unknown,Low,Low,Medium,0.48,Novel,Predicted theoretical compound,No
Acid Chloride+Ether+Sulfonamide,Unknown,Low,Low,Low,0.67,Novel,Predicted theoretical compound,No
Carboxylic Acid+Sulfonamide,Unknown,Low,High,Medium,0.48,Novel,Predicted theoretical compound,No
Alcohol+Aromatic Ring+Halide,Unknown,High,Low,High,0.65,Novel,Predicted theoretical compound,No
Alkene,Alkene,Low,Low,Medium,0.9,Seen,Rule-consistent known chemical class,Yes
Aldehyde+Aromatic Ring+Ether,Unknown,Low,Low,High,0.66,Novel,Predicted theoretical compound,No
Alcohol,Ether,Low,Medium,Medium,0.82,Seen,Rule-consistent known chemical class,Yes
Amine+Sulfide,Unknown,Medium,Medium,Medium,0.62,Novel,Predicted theoretical compound,No
Alkene+Ether,Unknown,Medium,Low,Medium,0.51,Novel,Predicted theoretical compound,No
Carboxylic Acid+Nitrile,Unknown,Medium,High,Medium,0.49,Novel,Predicted theoretical compound,No
Alkene+Carboxylic Acid+Halide,Unknown,High,High,Medium,0.69,Novel,Predicted theoretical compound,No
Ether+Nitro,Unknown,High,Low,Medium,0.44,Novel,Predicted theoretical compound,No
Acid Chloride+Sulfide,Unknown,Medium,Low,Low,0.58,Novel,Predicted theoretical compound,No
Alcohol+Amide,Unknown,Medium,High,High,0.47,Novel,Predicted theoretical compound,No
Acid Chloride+Nitrile,Unknown,Medium,Low,Low,0.59,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Medium,Low,High,0.78,Seen,Rule-consistent known chemical class,Yes
Aromatic Ring+Heterocycle+Thiol,Unknown,Medium,Low,High,0.4,Novel,Predicted theoretical compound,No
Ester+Sulfonamide,Unknown,Medium,Low,Medium,0.5,Novel,Predicted theoretical compound,No
Alkene+Heterocycle,Unknown,Medium,Low,Medium,0.62,Novel,Predicted theoretical compound,No
Alcohol+Nitro+Sulfonamide,Unknown,High,Low,Medium,0.58,Novel,Predicted theoretical compound,No
Alkene,Alkene,Low,Medium,Medium,0.77,Seen,Rule-consistent known chemical class,Yes
Amide,Unknown,Low,High,High,0.7,Novel,Predicted theoretical compound,No
Ester,Unknown,Low,Medium,Medium,0.49,Novel,Predicted theoretical compound,No
Nitrile+Phenol,Unknown,Medium,Medium,Medium,0.65,Novel,Predicted theoretical compound,No
Alkene,Alkene,Medium,Low,Medium,0.86,Seen,Rule-consistent known chemical class,Yes
Nitro+Phenol,Unknown,High,Low,Medium,0.42,Novel,Predicted theoretical compound,No
Aldehyde+Carboxylic Acid,Unknown,Low,High,Medium,0.68,Novel,Predicted theoretical compound,No
Aldehyde+Nitro+Thiol,Unknown,Medium,Low,Medium,0.42,Novel,Predicted theoretical compound,No
Alkene+Amine,Unknown,Low,Medium,Medium,0.42,Novel,Predicted theoretical compound,No
Heterocycle+Phenol,Unknown,Low,Low,Medium,0.46,Novel,Predicted theoretical compound,No
Carboxylic Acid,Unknown,Low,High,Medium,0.69,Novel,Predicted theoretical compound,No
Ketone,Unknown,Low,Low,Medium,0.45,Novel,Predicted theoretical compound,No
Nitrile+Sulfonamide,Unknown,Medium,Low,Medium,0.54,Novel,Predicted theoretical compound,No
Aromatic Ring+Ether+Heterocycle,Unknown,Medium,Low,High,0.54,Novel,Predicted theoretical compound,No
Alcohol+Nitrile,Unknown,Medium,Low,Medium,0.49,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.61,Novel,Predicted theoretical compound,No
Aldehyde+Carboxylic Acid+Ester,Unknown,Low,High,Medium,0.59,Novel,Predicted theoretical compound,No
Alkene+Ketone,Unknown,Medium,Medium,Medium,0.43,Novel,Predicted theoretical compound,No
Heterocycle,Heterocyclic Compound,Low,Low,Medium,0.86,Seen,Rule-consistent known chemical class,Yes
Ketone,Unknown,Medium,Medium,Medium,0.49,Novel,Predicted theoretical compound,No
Alcohol+Halide+Sulfonamide,Unknown,High,Medium,Medium,0.43,Novel,Predicted theoretical compound,No
Heterocycle,Heterocyclic Compound,Medium,Low,Medium,0.81,Seen,Rule-consistent known chemical class,Yes
Ether+Phenol,Unknown,Medium,Medium,Medium,0.4,Novel,Predicted theoretical compound,No
Aromatic Ring+Ketone,Unknown,Low,Low,High,0.41,Novel,Predicted theoretical compound,No
Ketone+Nitrile,Unknown,Medium,Medium,Medium,0.56,Novel,Predicted theoretical compound,No
Amide,Unknown,Medium,High,High,0.69,Novel,Predicted theoretical compound,No
Alkyne+Ester,Unknown,Low,Medium,Medium,0.59,Novel,Predicted theoretical compound,No
Acid Chloride+Ester+Thiol,Unknown,Medium,Medium,Medium,0.45,Novel,Predicted theoretical compound,No
Carboxylic Acid+Sulfonamide,Unknown,Low,High,Medium,0.46,Novel,Predicted theoretical compound,No
Alkene+Amine,Unknown,Medium,Low,Medium,0.43,Novel,Predicted theoretical compound,No
Phenol,Phenol,Low,Low,Medium,0.79,Seen,Rule-consistent known chemical class,Yes
Alkene,Alkene,Low,Medium,Medium,0.89,Seen,Rule-consistent known chemical class,Yes
Alcohol+Aromatic Ring,Unknown,Low,Low,High,0.5,Novel,Predicted theoretical compound,No
Amine+Ester+Thiol,Unknown,Medium,Low,Medium,0.69,Novel,Predicted theoretical compound,No
Aldehyde+Aromatic Ring+Thiol,Unknown,Medium,Low,High,0.45,Novel,Predicted theoretical compound,No
Alcohol+Aromatic Ring+Nitrile,Unknown,Medium,Low,High,0.42,Novel,Predicted theoretical compound,No
